reduced_formulas,etl,htl,bandgap,device_stack,pce,etl_SMILES,htl_SMILES
Ag20Bi20CsI60,"['TiO2-c', 'TiO2-mp']",['P3HT'],1.860000198333923,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'PDBD-T', 'Au']",3.53,"['O=[Ti]=O', 'O=[Ti]=O']",['CCCCCCC1=CSC=C1']
Ag20Bi20CsI60,"['TiO2-c', 'TiO2-mp']",['PTB7-th'],1.860000198333923,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'PTBT-th', 'Au']",3.53,"['O=[Ti]=O', 'O=[Ti]=O']",['CCC(=CF)COC1=CC=C(C=C1)C23CCC(CC2)(CC3)C(=O)NCCC(=O)N4CCOCC4.CCC(=CF)COC1=CC=C(C=C1)C23CCC(CC2)(CC3)C(=O)NC4C5C4COC5.CCC(=CF)COC1=CC=C(C=C1)C23CCC(CC2)(CC3)C(=O)NC4(CCCOC4)C.CCC(=CF)COC1=CC=C(C=C1)C23CCC(CC2)(CC3)C(=O)NC4(CC4)CO.CCC(=CF)COC1=CC=C(C=C1)C23CCC(CC2)(CC3)C(=O)NC4(CCOCC4)C5=CC=CC=C5.CCC(=CF)COC1=CC=C(C=C1)C23CCC(CC2)(CC3)C(=O)N4CC5CCC(C4)O5.C1CC2COCC1N2C(=O)C34CCC(CC3)(CC4)C5=CC=C(C=C5)OCC(=CF)CN.C1CC2(CCC1(CC2)C3=CC=C(C=C3)OCC(=CF)CN)C(=O)NC4C5C4COC5.C1CC2(CCC1(CC2)C3=CC=C(C=C3)OCC(=CF)CN)C(=O)NC4(CCOCC4)CO']
Ag2BiI5,"['TiO2-c', 'TiO2-mp']",['PTAA'],2.220000236721134,"['SLG', 'ITO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'PTAA', 'Au']",2.6,"['O=[Ti]=O', 'O=[Ti]=O']",['CC1=CC(=C(C(=C1)C)N(C2=CC=CC=C2)C3=CC=CC=C3)C']
Ag3BiI6,"['TiO2-c', 'TiO2-mp']",['P3HT'],1.800000191936055,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'P3HT', 'Au']",2.32,"['O=[Ti]=O', 'O=[Ti]=O']",['CCCCCCC1=CSC=C1']
Ag3BiI6,"['TiO2-c', 'TiO2-mp']",['PTAA'],0.0,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'PTAA', 'Au']",4.3,"['O=[Ti]=O', 'O=[Ti]=O']",['CC1=CC(=C(C(=C1)C)N(C2=CC=CC=C2)C3=CC=CC=C3)C']
AgBi2I7,"['TiO2-c', 'TiO2-mp']",['P3HT'],0.0,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'P3HT', 'Au']",2.1,"['O=[Ti]=O', 'O=[Ti]=O']",['CCCCCCC1=CSC=C1']
AgBiBr6Cs2,"['C60', 'BCP']",['NiO-c'],0.0,"['SLG', 'ITO', 'NiO-c', 'Perovskite', 'C60', 'BCP', 'Ag']",2.23,"['C12=C3C4=C5C6=C1C7=C8C9=C1C%10=C%11C(=C29)C3=C2C3=C4C4=C5C5=C9C6=C7C6=C7C8=C1C1=C8C%10=C%10C%11=C2C2=C3C3=C4C4=C5C5=C%11C%12=C(C6=C95)C7=C1C1=C%12C5=C%11C4=C3C3=C5C(=C81)C%10=C23', 'CC1=CC(=C2C=CC3=C(C=C(N=C3C2=N1)C)C4=CC=CC=C4)C5=CC=CC=C5']",['O=[Ni]']
AgBiBr6Cs2,['TiO2-c'],['Spiro-MeOTAD'],0.0,"['SLG', 'FTO', 'TiO2-c', 'Perovskite', 'Spiro-MeOTAD', 'MoO3', 'Ag']",2.3333333333333335,['O=[Ti]=O'],['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
AgBiBr6Cs2,"['TiO2-c', 'TiO2-mp']",['Spiro-MeOTAD'],2.2100002356548227,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'Spiro-MeOTAD', 'Au']",2.15,"['O=[Ti]=O', 'O=[Ti]=O']",['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
AgBiI4,"['TiO2-c', 'TiO2-mp']",['PTAA'],0.0,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'PTAA', 'Ag']",2.1,"['O=[Ti]=O', 'O=[Ti]=O']",['CC1=CC(=C(C(=C1)C)N(C2=CC=CC=C2)C3=CC=CC=C3)C']
